Data Number,Hour,Minute,Seconds,Data Value
1,6,47,25,-1000
2,6,47,25,-1000
3,6,47,25,-1000
4,6,47,25,-1000
5,6,47,25,-1000
6,6,47,25,-1000
7,6,47,25,-1000
8,6,47,25,-1000
9,6,47,25,-1000
10,6,47,25,-1000
11,6,47,25,-1000
12,6,47,25,-1000
13,6,47,26,-1000
14,6,47,26,-1000
15,6,47,26,-1000
16,6,47,26,-1000
17,6,47,26,-1000
18,6,47,26,-1000
19,6,47,26,-1000
20,6,47,26,-1000
21,6,47,26,-1000
22,6,47,26,-1000
23,6,47,26,-1000
24,6,47,26,-1000
25,6,47,26,-1000
26,6,47,26,-1000
27,6,47,26,-1000
28,6,47,26,-1000
29,6,47,26,-1000
30,6,47,26,-1000
31,6,47,26,-1000
32,6,47,26,-1000
33,6,47,26,-1000
34,6,47,26,-1000
35,6,47,26,-1000
36,6,47,26,-1000
37,6,47,26,-1000
38,6,47,26,-1000
39,6,47,26,-1000
40,6,47,26,-1000
41,6,47,26,-1000
42,6,47,26,-1000
43,6,47,26,-1000
44,6,47,26,-1000
45,6,47,26,-1000
46,6,47,26,-1000
47,6,47,26,-1000
48,6,47,26,-1000
49,6,47,26,-1000
50,6,47,26,-1000
51,6,47,26,-1000
52,6,47,26,-1000
53,6,47,26,-1000
54,6,47,26,-1000
55,6,47,26,-1000
56,6,47,26,-1000
57,6,47,26,-1000
58,6,47,26,-1000
59,6,47,26,-1000
60,6,47,26,-1000
61,6,47,26,-1000
62,6,47,26,-1000
63,6,47,26,-1000
64,6,47,26,-1000
65,6,47,26,-1000
66,6,47,26,-1000
67,6,47,26,-1000
68,6,47,26,-1000
69,6,47,26,-1000
70,6,47,26,-1000
71,6,47,27,-1000
72,6,47,27,-1000
73,6,47,27,-1000
74,6,47,27,-1000
75,6,47,27,-1000
76,6,47,27,-1000
77,6,47,27,-1000
78,6,47,27,-1000
79,6,47,27,-1000
80,6,47,27,-1000
81,6,47,27,-1000
82,6,47,27,-1000
83,6,47,27,-1000
84,6,47,27,-1000
85,6,47,27,-1000
86,6,47,27,-1000
87,6,47,27,-1000
88,6,47,27,-1000
89,6,47,27,-1000
90,6,47,27,-1000
91,6,47,27,-1000
92,6,47,27,-1000
93,6,47,27,-1000
94,6,47,27,-1000
95,6,47,27,-1000
96,6,47,27,-1000
97,6,47,27,-1000
98,6,47,27,-1000
99,6,47,27,-1000
100,6,47,27,-1000
101,6,47,27,-1000
102,6,47,27,-1000
103,6,47,27,-1000
104,6,47,27,-1000
105,6,47,27,-1000
106,6,47,27,-1000
107,6,47,27,-1000
108,6,47,27,-1000
109,6,47,27,-1000
110,6,47,27,-1000
111,6,47,27,-1000
112,6,47,27,-1000
113,6,47,27,-1000
114,6,47,27,-1000
115,6,47,27,-1000
116,6,47,27,-1000
117,6,47,27,-1000
118,6,47,27,-1000
119,6,47,27,-1000
120,6,47,27,-1000
121,6,47,27,-1000
122,6,47,27,-1000
123,6,47,27,-1000
124,6,47,27,-1000
125,6,47,27,-1000
126,6,47,27,-1000
127,6,47,27,-1000
128,6,47,27,-1000
129,6,47,28,-1000
130,6,47,28,-1000
131,6,47,28,-1000
132,6,47,28,-1000
133,6,47,28,-1000
134,6,47,28,-1000
135,6,47,28,-1000
136,6,47,28,-1000
137,6,47,28,-1000
138,6,47,28,-1000
139,6,47,28,-1000
140,6,47,28,-1000
141,6,47,28,-1000
142,6,47,28,-1000
143,6,47,28,-1000
144,6,47,28,-1000
145,6,47,28,-1000
146,6,47,28,-1000
147,6,47,28,-1000
148,6,47,28,-1000
149,6,47,28,-1000
150,6,47,28,-1000
151,6,47,28,-1000
152,6,47,28,-1000
153,6,47,28,-1000
154,6,47,28,-1000
155,6,47,28,-1000
156,6,47,28,-1000
157,6,47,28,-1000
158,6,47,28,-1000
159,6,47,28,-1000
160,6,47,28,-1000
161,6,47,28,-1000
162,6,47,28,-1000
163,6,47,28,-1000
164,6,47,28,-1000
165,6,47,28,-1000
166,6,47,28,-1000
167,6,47,28,-1000
168,6,47,28,-1000
169,6,47,28,-1000
170,6,47,28,-1000
171,6,47,28,-1000
172,6,47,28,-1000
173,6,47,28,-1000
174,6,47,28,-1000
175,6,47,28,-1000
176,6,47,28,-1000
177,6,47,28,-1000
178,6,47,28,-1000
179,6,47,28,-1000
180,6,47,28,-1000
181,6,47,28,-1000
182,6,47,28,-1000
183,6,47,28,-1000
184,6,47,29,-1000
185,6,47,29,-1000
186,6,47,29,-1000
187,6,47,29,-1000
188,6,47,29,-1000
189,6,47,29,-1000
190,6,47,29,-1000
191,6,47,29,-1000
192,6,47,29,-1000
193,6,47,29,-1000
194,6,47,29,-1000
195,6,47,29,-1000
196,6,47,29,-1000
197,6,47,29,-1000
198,6,47,29,-1000
199,6,47,29,-1000
200,6,47,29,-1000
201,6,47,29,-1000
202,6,47,29,-1000
203,6,47,29,-1000
204,6,47,29,-1000
205,6,47,29,-1000
206,6,47,29,-1000
207,6,47,29,-1000
208,6,47,29,-1000
