Data Number,Hour,Minute,Seconds,Data Value
1,11,4,1,1
2,11,4,9,307.04
3,11,4,11,2247.99
4,11,4,11,307.35
5,11,4,11,307.76
6,11,4,11,306.56
7,11,4,11,306.04
8,11,4,11,81.99
9,11,4,11,208.84
10,11,4,11,307.88
11,11,4,11,309.61
12,11,4,11,2231.04
13,11,4,12,307.35
14,11,4,12,192.47
15,11,4,12,263.46
16,11,4,12,191.05
17,11,4,12,204.93
18,11,4,12,304.45
19,11,4,12,2232.45
20,11,4,12,273.30
21,11,4,12,2231.51
22,11,4,12,307.86
23,11,4,12,190.31
24,11,4,12,307.74
25,11,4,12,309.08
26,11,4,12,181.26
27,11,4,12,306.98
28,11,4,12,191.15
29,11,4,12,215.75
30,11,4,12,2231.92
31,11,4,13,307.76
32,11,4,13,308.19
33,11,4,13,307.00
34,11,4,13,165.96
35,11,4,13,192.03
36,11,4,13,285.12
37,11,4,13,251.20
38,11,4,13,248.86
39,11,4,13,307.88
40,11,4,13,306.13
41,11,4,13,228.85
42,11,4,13,285.36
43,11,4,13,213.72
44,11,4,13,306.04
45,11,4,13,307.36
46,11,4,13,308.20
47,11,4,13,261.35
48,11,4,13,263.84
49,11,4,13,307.43
50,11,4,13,209.80
51,11,4,13,208.12
52,11,4,13,264.14
53,11,4,13,309.92
54,11,4,13,192.37
55,11,4,13,2231.94
56,11,4,13,309.08
57,11,4,13,306.92
58,11,4,13,191.21
59,11,4,13,190.73
60,11,4,13,266.46
61,11,4,14,307.76
62,11,4,14,192.03
63,11,4,14,2229.24
64,11,4,14,310.76
65,11,4,14,294.64
66,11,4,14,242.12
67,11,4,14,191.62
68,11,4,14,258.83
69,11,4,14,306.06
70,11,4,14,262.88
71,11,4,14,2114.18
72,11,4,14,303.78
73,11,4,14,285.67
74,11,4,14,306.95
75,11,4,14,262.86
76,11,4,14,190.74
77,11,4,14,306.57
78,11,4,14,189.92
79,11,4,14,190.73
80,11,4,14,191.93
81,11,4,14,306.92
82,11,4,14,74.86
83,11,4,15,224.77
84,11,4,15,306.45
85,11,4,15,2348.59
86,11,4,15,2347.25
87,11,4,15,307.04
88,11,4,15,308.22
89,11,4,15,308.72
90,11,4,15,195.92
91,11,4,15,43.13
92,11,4,15,147.18
93,11,4,15,310.74
94,11,4,15,306.57
95,11,4,15,307.88
96,11,4,15,307.77
97,11,4,15,112.21
98,11,4,15,306.56
99,11,4,15,308.22
100,11,4,15,119.79
101,11,4,15,293.21
102,11,4,15,2212.68
103,11,4,15,306.61
104,11,4,15,306.59
105,11,4,15,1947.06
106,11,4,16,306.92
107,11,4,16,175.46
108,11,4,16,175.48
109,11,4,16,252.77
110,11,4,16,306.56
111,11,4,16,308.17
112,11,4,16,92.75
113,11,4,16,307.77
114,11,4,16,306.90
115,11,4,16,307.31
116,11,4,16,310.31
117,11,4,16,306.90
118,11,4,16,307.29
119,11,4,16,309.49
120,11,4,16,306.02
121,11,4,16,306.90
122,11,4,16,119.98
123,11,4,16,28.18
124,11,4,16,39.70
125,11,4,16,2214.97
126,11,4,16,307.89
127,11,4,16,307.79
128,11,4,16,56.70
129,11,4,16,174.11
130,11,4,16,311.17
131,11,4,16,308.17
132,11,4,17,306.90
133,11,4,17,174.19
134,11,4,17,309.49
135,11,4,17,306.59
136,11,4,17,307.81
137,11,4,17,308.77
138,11,4,17,2213.46
139,11,4,17,288.75
140,11,4,17,306.59
141,11,4,17,308.32
142,11,4,17,307.76
143,11,4,17,231.51
144,11,4,17,234.63
145,11,4,17,306.88
146,11,4,17,297.42
147,11,4,17,174.52
148,11,4,17,173.76
149,11,4,17,306.59
150,11,4,17,292.49
151,11,4,17,307.00
152,11,4,17,44.18
153,11,4,18,175.36
154,11,4,18,2348.88
155,11,4,18,307.74
156,11,4,18,307.36
157,11,4,18,307.04
158,11,4,18,1551.97
159,11,4,18,306.04
160,11,4,18,291.45
161,11,4,18,254.01
162,11,4,18,306.57
163,11,4,18,306.56
164,11,4,18,308.65
165,11,4,18,55.53
166,11,4,18,254.37
167,11,4,18,184.31
168,11,4,18,307.84
169,11,4,18,281.59
170,11,4,18,264.93
171,11,4,18,174.50
172,11,4,18,307.31
173,11,4,18,308.77
174,11,4,18,310.78
175,11,4,18,306.49
176,11,4,18,264.88
177,11,4,18,43.03
178,11,4,19,306.57
179,11,4,19,307.81
180,11,4,19,306.49
181,11,4,19,308.73
182,11,4,19,306.56
183,11,4,19,2348.28
184,11,4,19,228.46
185,11,4,19,27.53
186,11,4,19,157.35
187,11,4,19,307.45
188,11,4,19,309.93
189,11,4,19,189.28
190,11,4,19,230.10
191,11,4,19,309.51
192,11,4,19,174.60
193,11,4,19,174.95
194,11,4,19,307.77
195,11,4,19,212.85
196,11,4,19,0.00
197,11,4,20,310.74
198,11,4,20,306.59
199,11,4,20,210.76
200,11,4,20,307.31
201,11,4,20,176.35
202,11,4,20,174.91
203,11,4,20,307.36
204,11,4,20,308.19
205,11,4,20,306.86
206,11,4,20,85.48
207,11,4,20,254.30
208,11,4,20,306.50
209,11,4,20,307.76
210,11,4,20,306.97
211,11,4,20,306.47
212,11,4,20,307.33
213,11,4,20,307.00
214,11,4,20,307.04
215,11,4,20,308.22
216,11,4,20,306.44
217,11,4,20,58.36
218,11,4,20,28.28
219,11,4,20,33.43
220,11,4,20,306.85
221,11,4,20,306.49
222,11,4,20,246.63
223,11,4,21,174.91
224,11,4,21,307.43
225,11,4,21,267.28
226,11,4,21,2216.00
227,11,4,21,306.47
228,11,4,21,184.36
229,11,4,21,307.31
230,11,4,21,308.27
231,11,4,21,1819.07
232,11,4,21,306.45
233,11,4,21,307.29
234,11,4,21,208.20
235,11,4,21,308.61
236,11,4,21,307.41
237,11,4,21,306.47
238,11,4,21,114.80
239,11,4,21,307.35
240,11,4,21,224.25
241,11,4,21,273.11
242,11,4,21,2080.59
243,11,4,21,308.29
244,11,4,22,175.82
245,11,4,22,214.75
246,11,4,22,307.35
247,11,4,22,242.42
248,11,4,22,307.84
249,11,4,22,2078.85
250,11,4,22,307.79
251,11,4,22,208.90
252,11,4,22,307.45
253,11,4,22,218.41
254,11,4,22,306.50
255,11,4,22,2213.77
256,11,4,22,2213.76
257,11,4,22,308.60
258,11,4,22,308.15
259,11,4,22,308.63
260,11,4,22,307.79
