Data Number,Hour,Minute,Data Value
1,11,12,6.31
2,11,12,31.56
3,11,12,32.59
4,11,12,36.26
5,11,12,38.02
6,11,12,40.39
7,11,12,40.75
8,11,12,41.55
9,11,12,39.10
10,11,12,35.23
11,11,12,35.50
12,11,12,32.52
13,11,12,31.54
14,11,12,32.05
15,11,12,33.19
16,11,12,27.30
17,11,12,27.71
18,11,12,26.72
19,11,12,28.83
20,11,12,29.31
21,11,12,29.41
22,11,12,29.21
23,11,12,29.21
24,11,12,31.50
25,11,12,33.34
26,11,12,35.69
27,11,12,38.96
28,11,12,41.02
29,11,12,41.69
30,11,12,41.07
31,11,12,39.50
32,11,12,38.93
33,11,12,36.22
34,11,12,34.15
35,11,12,38.50
36,11,12,32.89
37,11,12,30.56
38,11,12,31.01
39,11,12,29.36
40,11,12,27.17
41,11,12,26.55
42,11,12,26.81
43,11,12,26.63
44,11,12,26.14
45,11,12,33.39
46,11,12,29.31
47,11,12,31.86
48,11,13,34.27
49,11,13,35.19
50,11,13,40.29
51,11,13,42.34
52,11,13,48.04
53,11,13,50.94
54,11,13,52.07
55,11,13,56.97
56,11,13,57.28
57,11,13,63.59
58,11,13,62.96
59,11,13,51.90
60,11,13,50.16
61,11,13,46.53
62,11,13,43.77
63,11,13,37.73
64,11,13,37.39
65,11,13,27.92
66,11,13,30.42
67,11,13,26.93
68,11,13,24.87
69,11,13,28.79
70,11,13,25.88
71,11,13,26.55
72,11,13,28.30
73,11,13,24.80
74,11,13,28.57
75,11,13,31.69
76,11,13,37.42
77,11,13,46.10
78,11,13,57.38
79,11,13,46.99
80,11,13,47.32
81,11,13,44.86
82,11,13,54.25
83,11,13,43.30
84,11,13,35.71
85,11,13,32.98
86,11,13,29.76
87,11,13,29.46
88,11,13,31.71
89,11,13,31.92
90,11,13,28.83
91,11,13,30.39
92,11,13,28.18
93,11,13,28.95
94,11,13,31.50
95,11,13,32.17
96,11,13,35.07
97,11,13,36.62
98,11,13,39.26
99,11,13,44.50
100,11,13,58.52
