Data Number,Hour,Minute,Seconds,Data Value
1,2,1,56,-1000
2,2,1,57,-1000
3,2,1,57,-1000
4,2,1,57,-1000
5,2,1,57,-1000
6,2,1,57,-1000
7,2,1,57,-1000
8,2,1,57,-1000
9,2,1,57,-1000
10,2,1,57,-1000
11,2,1,57,-1000
12,2,1,57,-1000
13,2,1,57,-1000
14,2,1,57,-1000
15,2,1,57,-1000
16,2,1,57,-1000
17,2,1,57,-1000
18,2,1,57,-1000
19,2,1,57,-1000
20,2,1,57,-1000
21,2,1,57,-1000
22,2,1,57,-1000
23,2,1,57,-1000
24,2,1,57,-1000
25,2,1,57,-1000
26,2,1,57,-1000
27,2,1,57,-1000
28,2,1,57,-1000
29,2,1,57,-1000
30,2,1,57,-1000
31,2,1,57,-1000
32,2,1,57,-1000
33,2,1,57,-1000
34,2,1,57,-1000
35,2,1,57,-1000
36,2,1,57,-1000
37,2,1,57,-1000
38,2,1,57,-1000
39,2,1,57,-1000
40,2,1,57,-1000
41,2,1,57,-1000
42,2,1,57,-1000
43,2,1,57,-1000
44,2,1,57,-1000
45,2,1,57,-1000
46,2,1,57,-1000
47,2,1,57,-1000
48,2,1,57,-1000
49,2,1,57,-1000
50,2,1,57,-1000
51,2,1,57,-1000
52,2,1,57,-1000
53,2,1,57,-1000
54,2,1,57,-1000
55,2,1,57,-1000
56,2,1,57,-1000
57,2,1,57,9.98
58,2,1,59,10.07
59,2,2,0,10.38
60,2,2,0,10.39
61,2,2,0,10.50
62,2,2,0,10.38
63,2,2,0,10.48
64,2,2,0,10.39
65,2,2,0,10.48
66,2,2,0,10.79
67,2,2,0,10.89
68,2,2,0,10.79
69,2,2,0,10.87
70,2,2,0,9.91
71,2,2,0,9.91
72,2,2,0,10.44
73,2,2,0,10.34
74,2,2,0,10.86
75,2,2,0,10.74
76,2,2,0,9.96
77,2,2,0,9.86
78,2,2,0,9.86
79,2,2,0,9.98
80,2,2,0,9.86
81,2,2,0,10.27
82,2,2,0,10.38
83,2,2,0,10.27
84,2,2,0,10.79
85,2,2,0,10.27
86,2,2,0,10.38
87,2,2,0,10.27
88,2,2,0,10.38
89,2,2,0,10.68
90,2,2,0,10.68
91,2,2,0,10.68
92,2,2,0,10.24
93,2,2,0,10.34
94,2,2,0,10.22
95,2,2,0,10.32
96,2,2,0,10.63
97,2,2,0,9.83
98,2,2,0,9.67
99,2,2,0,10.44
100,2,2,0,9.98
101,2,2,0,10.58
102,2,2,0,10.94
103,2,2,0,9.72
104,2,2,0,9.55
105,2,2,0,9.47
106,2,2,0,9.19
107,2,2,0,8.13
108,2,2,0,7.97
109,2,2,0,8.33
110,2,2,0,7.73
111,2,2,0,8.28
112,2,2,0,7.63
113,2,2,0,7.92
114,2,2,0,8.08
115,2,2,0,7.82
116,2,2,0,6.69
117,2,2,0,6.79
118,2,2,0,7.00
119,2,2,0,7.32
120,2,2,0,6.69
121,2,2,1,6.91
122,2,2,1,6.76
123,2,2,1,7.82
124,2,2,1,7.31
125,2,2,1,6.86
126,2,2,1,8.28
127,2,2,1,7.97
128,2,2,1,7.72
129,2,2,1,8.32
130,2,2,1,8.28
131,2,2,1,7.58
132,2,2,1,8.09
133,2,2,1,8.23
134,2,2,1,8.54
135,2,2,1,9.93
136,2,2,1,10.44
137,2,2,1,12.73
138,2,2,1,14.10
139,2,2,1,14.97
140,2,2,1,18.04
141,2,2,1,16.96
142,2,2,1,17.68
143,2,2,1,18.86
144,2,2,1,20.03
145,2,2,1,20.79
146,2,2,1,22.84
147,2,2,1,29.58
148,2,2,1,29.94
149,2,2,1,320.02
150,2,2,1,320.12
151,2,2,1,31.80
152,2,2,1,322.25
153,2,2,1,34.83
154,2,2,1,35.81
155,2,2,1,37.20
156,2,2,1,37.30
157,2,2,1,39.55
158,2,2,1,40.65
159,2,2,1,41.18
160,2,2,1,42.26
161,2,2,1,41.98
162,2,2,1,45.31
163,2,2,1,44.04
164,2,2,1,44.09
165,2,2,1,43.36
166,2,2,1,321.31
167,2,2,1,320.10
168,2,2,1,53.37
169,2,2,1,320.07
170,2,2,1,121.51
171,2,2,1,100.04
172,2,2,2,61.11
173,2,2,2,122.16
174,2,2,2,118.71
175,2,2,2,103.04
176,2,2,2,123.24
177,2,2,2,124.20
178,2,2,2,124.23
179,2,2,2,84.89
180,2,2,2,45.05
181,2,2,2,43.17
182,2,2,2,320.52
183,2,2,2,42.03
184,2,2,2,41.42
185,2,2,2,40.20
186,2,2,2,37.80
187,2,2,2,36.62
188,2,2,2,34.69
189,2,2,2,33.72
190,2,2,2,32.02
191,2,2,2,30.18
192,2,2,2,28.91
193,2,2,2,28.09
194,2,2,2,26.93
195,2,2,2,29.07
196,2,2,2,81.09
197,2,2,2,24.27
198,2,2,2,22.95
199,2,2,2,21.92
200,2,2,2,24.94
201,2,2,2,78.82
202,2,2,2,19.36
203,2,2,2,24.63
204,2,2,2,18.49
205,2,2,2,16.19
206,2,2,2,14.41
207,2,2,2,485.52
208,2,2,2,9.19
209,2,2,2,10.72
210,2,2,2,9.21
211,2,2,2,8.78
212,2,2,2,9.11
213,2,2,2,10.19
214,2,2,2,197.41
215,2,2,2,10.72
216,2,2,2,11.25
217,2,2,2,12.88
218,2,2,2,14.25
219,2,2,2,14.42
220,2,2,2,16.98
221,2,2,2,18.09
222,2,2,3,19.36
223,2,2,3,21.27
224,2,2,3,24.90
225,2,2,3,29.17
226,2,2,3,30.97
227,2,2,3,31.68
228,2,2,3,34.35
229,2,2,3,37.13
230,2,2,3,320.07
231,2,2,3,41.71
232,2,2,3,43.39
233,2,2,3,44.01
234,2,2,3,46.84
235,2,2,3,81.00
236,2,2,3,319.98
237,2,2,3,121.44
238,2,2,3,320.16
239,2,2,3,117.43
240,2,2,3,321.39
241,2,2,3,114.22
242,2,2,3,114.80
243,2,2,3,321.32
244,2,2,3,322.28
245,2,2,3,59.12
246,2,2,3,46.24
247,2,2,3,43.18
248,2,2,3,42.88
249,2,2,3,40.47
250,2,2,3,38.18
251,2,2,3,37.10
252,2,2,3,34.80
253,2,2,3,34.59
254,2,2,3,31.93
255,2,2,3,28.06
256,2,2,3,26.12
257,2,2,3,22.95
258,2,2,3,22.02
259,2,2,3,21.06
260,2,2,3,19.43
261,2,2,3,17.17
262,2,2,3,15.23
263,2,2,3,14.17
264,2,2,3,11.95
265,2,2,3,10.94
266,2,2,3,9.86
267,2,2,3,8.39
268,2,2,3,7.05
269,2,2,3,7.41
270,2,2,4,6.29
271,2,2,4,5.63
272,2,2,4,5.16
273,2,2,4,5.27
274,2,2,4,4.66
275,2,2,4,4.20
276,2,2,4,4.72
277,2,2,4,4.66
278,2,2,4,4.75
279,2,2,4,5.06
280,2,2,4,6.40
281,2,2,4,7.36
282,2,2,4,9.96
283,2,2,4,17.12
284,2,2,4,11.40
285,2,2,4,11.85
286,2,2,4,14.32
287,2,2,4,16.31
288,2,2,4,17.24
289,2,2,4,20.91
290,2,2,4,25.64
291,2,2,4,78.53
292,2,2,4,28.35
293,2,2,4,30.30
294,2,2,4,33.31
295,2,2,4,36.27
296,2,2,4,40.68
297,2,2,4,43.34
298,2,2,4,43.60
299,2,2,4,46.97
300,2,2,4,44.45
301,2,2,4,46.67
302,2,2,4,50.22
303,2,2,4,61.23
304,2,2,4,320.57
305,2,2,4,2360.47
306,2,2,4,322.28
307,2,2,4,48.02
308,2,2,4,42.22
309,2,2,4,42.02
310,2,2,4,40.32
311,2,2,4,40.05
312,2,2,4,38.91
313,2,2,4,37.35
314,2,2,4,35.60
315,2,2,5,39.38
316,2,2,5,86.66
317,2,2,5,30.30
318,2,2,5,35.67
319,2,2,5,25.91
320,2,2,5,23.87
321,2,2,5,24.88
322,2,2,5,24.28
323,2,2,5,20.75
324,2,2,5,18.56
325,2,2,5,15.25
326,2,2,5,15.74
327,2,2,5,13.96
328,2,2,5,11.92
329,2,2,5,11.82
330,2,2,5,2362.31
331,2,2,5,320.07
332,2,2,5,320.91
