Data Number,Hour,Minute,Seconds,Data Value
1,11,30,19,191.09
2,11,30,19,190.19
3,11,30,19,190.16
4,11,30,19,190.18
5,11,30,19,190.62
6,11,30,19,190.18
7,11,30,19,190.19
8,11,30,20,191.05
9,11,30,20,191.53
10,11,30,20,190.18
11,11,30,20,191.09
12,11,30,20,133.72
13,11,30,20,196.28
14,11,30,20,22.42
15,11,30,20,25.90
16,11,30,20,23.55
17,11,30,21,22.36
18,11,30,21,22.05
19,11,30,21,22.79
20,11,30,21,22.59
21,11,30,21,22.74
22,11,30,21,22.42
23,11,30,21,22.54
24,11,30,21,25.09
25,11,30,21,29.07
26,11,30,22,34.35
27,11,30,22,190.14
28,11,30,22,190.18
29,11,30,22,190.28
30,11,30,22,190.61
31,11,30,22,191.07
32,11,30,22,190.59
33,11,30,22,190.24
34,11,30,23,191.05
35,11,30,23,191.07
36,11,30,23,190.16
37,11,30,23,191.07
38,11,30,23,190.18
39,11,30,23,190.14
40,11,30,23,190.61
41,11,30,23,190.26
42,11,30,24,190.18
43,11,30,24,190.19
44,11,30,24,190.62
45,11,30,24,190.76
46,11,30,24,106.12
47,11,30,24,38.23
48,11,30,24,36.50
49,11,30,24,36.86
50,11,30,24,36.96
51,11,30,25,38.55
52,11,30,25,8.70
53,11,30,25,10.10
54,11,30,25,47.99
55,11,30,25,48.14
56,11,30,25,10.86
57,11,30,25,8.30
58,11,30,25,8.04
59,11,30,25,8.40
60,11,30,26,7.22
61,11,30,26,5.95
62,11,30,26,42.77
63,11,30,26,8.09
64,11,30,26,8.97
65,11,30,26,9.43
66,11,30,26,10.19
67,11,30,26,8.51
68,11,30,26,7.84
69,11,30,27,5.44
70,11,30,27,8.66
71,11,30,27,7.27
72,11,30,27,7.32
73,11,30,27,11.68
74,11,30,27,41.40
75,11,30,27,17.30
76,11,30,27,10.19
77,11,30,27,46.00
78,11,30,27,9.88
79,11,30,28,42.43
80,11,30,28,41.55
81,11,30,28,40.85
82,11,30,28,38.98
83,11,30,28,50.15
84,11,30,28,35.98
85,11,30,28,30.90
86,11,30,28,26.00
87,11,30,29,28.81
88,11,30,29,22.17
89,11,30,29,20.68
90,11,30,29,21.61
91,11,30,29,27.32
92,11,30,29,27.03
93,11,30,29,33.24
94,11,30,29,37.11
95,11,30,29,38.21
96,11,30,29,50.59
97,11,30,30,41.42
98,11,30,30,40.80
99,11,30,30,40.82
100,11,30,30,49.39
